"","16S-bodega-bay-fecal-experiment_Blank.1","16S-bodega-bay-fecal-experiment_Blank.10","16S-bodega-bay-fecal-experiment_Blank.11","16S-bodega-bay-fecal-experiment_Blank.12","16S-bodega-bay-fecal-experiment_Blank.2","16S-bodega-bay-fecal-experiment_Blank.3","16S-bodega-bay-fecal-experiment_Blank.4","16S-bodega-bay-fecal-experiment_Blank.5","16S-bodega-bay-fecal-experiment_Blank.6","16S-bodega-bay-fecal-experiment_Blank.7","16S-bodega-bay-fecal-experiment_Blank.8","16S-bodega-bay-fecal-experiment_Blank.9","16S-bodega-bay-fecal-experiment_CC.B.1.1","16S-bodega-bay-fecal-experiment_CC.B.1.2","16S-bodega-bay-fecal-experiment_CC.B.1.3","16S-bodega-bay-fecal-experiment_CC.B.2.1","16S-bodega-bay-fecal-experiment_CC.B.2.2","16S-bodega-bay-fecal-experiment_CC.B.2.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.2","16S-bodega-bay-fecal-experiment_CC.B.3.3","16S-bodega-bay-fecal-experiment_CC.B.4.1","16S-bodega-bay-fecal-experiment_CC.B.4.2","16S-bodega-bay-fecal-experiment_CC.B.4.3","16S-bodega-bay-fecal-experiment_CC.SG.1.1","16S-bodega-bay-fecal-experiment_CC.SG.1.2","16S-bodega-bay-fecal-experiment_CC.SG.1.3","16S-bodega-bay-fecal-experiment_CC.SG.2.1","16S-bodega-bay-fecal-experiment_CC.SG.2.2","16S-bodega-bay-fecal-experiment_CC.SG.2.3","16S-bodega-bay-fecal-experiment_CC.SG.3.1","16S-bodega-bay-fecal-experiment_CC.SG.3.2","16S-bodega-bay-fecal-experiment_CC.SG.3.3","16S-bodega-bay-fecal-experiment_CC.SG.4.1","16S-bodega-bay-fecal-experiment_CC.SG.4.2","16S-bodega-bay-fecal-experiment_CC.SG.4.3","16S-bodega-bay-fecal-experiment_MM.B.1.1","16S-bodega-bay-fecal-experiment_MM.B.1.2","16S-bodega-bay-fecal-experiment_MM.B.1.3","16S-bodega-bay-fecal-experiment_MM.B.2.1","16S-bodega-bay-fecal-experiment_MM.B.2.2","16S-bodega-bay-fecal-experiment_MM.B.2.3","16S-bodega-bay-fecal-experiment_MM.B.3.1","16S-bodega-bay-fecal-experiment_MM.B.3.2","16S-bodega-bay-fecal-experiment_MM.B.3.3","16S-bodega-bay-fecal-experiment_MM.B.4.1","16S-bodega-bay-fecal-experiment_MM.B.4.2","16S-bodega-bay-fecal-experiment_MM.B.4.3","16S-bodega-bay-fecal-experiment_MM.SG.1.1","16S-bodega-bay-fecal-experiment_MM.SG.1.2","16S-bodega-bay-fecal-experiment_MM.SG.1.3","16S-bodega-bay-fecal-experiment_MM.SG.2.1","16S-bodega-bay-fecal-experiment_MM.SG.2.2","16S-bodega-bay-fecal-experiment_MM.SG.2.3","16S-bodega-bay-fecal-experiment_MM.SG.3.1","16S-bodega-bay-fecal-experiment_MM.SG.3.2","16S-bodega-bay-fecal-experiment_MM.SG.3.3","16S-bodega-bay-fecal-experiment_MM.SG.4.1","16S-bodega-bay-fecal-experiment_MM.SG.4.2","16S-bodega-bay-fecal-experiment_MM.SG.4.3","16S-bodega-bay-fecal-experiment_NegCtrl1","16S-bodega-bay-fecal-experiment_NegCtrl2","16S-bodega-bay-fecal-experiment_WP.MFH.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.1.2","16S-bodega-bay-fecal-experiment_WP.MFH.1.3","16S-bodega-bay-fecal-experiment_WP.MFH.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.2.2","16S-bodega-bay-fecal-experiment_WP.MFH.2.3","16S-bodega-bay-fecal-experiment_WP.MFH.3.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.3.2","16S-bodega-bay-fecal-experiment_WP.MFH.3.3","16S-bodega-bay-fecal-experiment_WP.MFH.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.4.2","16S-bodega-bay-fecal-experiment_WP.MFH.4.3","16S-bodega-bay-fecal-experiment_WP.MFL.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.1.2","16S-bodega-bay-fecal-experiment_WP.MFL.1.3","16S-bodega-bay-fecal-experiment_WP.MFL.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.2.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.2","16S-bodega-bay-fecal-experiment_WP.MFL.3.3","16S-bodega-bay-fecal-experiment_WP.MFL.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.4.2","16S-bodega-bay-fecal-experiment_WP.MFL.4.3","16S-bodega-bay-fecal-experiment_WP.SG.1.1","16S-bodega-bay-fecal-experiment_WP.SG.1.2","16S-bodega-bay-fecal-experiment_WP.SG.1.3","16S-bodega-bay-fecal-experiment_WP.SG.2.1","16S-bodega-bay-fecal-experiment_WP.SG.2.2","16S-bodega-bay-fecal-experiment_WP.SG.2.3","16S-bodega-bay-fecal-experiment_WP.SG.3.1","16S-bodega-bay-fecal-experiment_WP.SG.3.2","16S-bodega-bay-fecal-experiment_WP.SG.3.3","16S-bodega-bay-fecal-experiment_WP.SG.4.1","16S-bodega-bay-fecal-experiment_WP.SG.4.2","16S-bodega-bay-fecal-experiment_WP.SG.4.3","16S-bodega-bay-fecal-experiment_Zymo.Ctrl1","16S-bodega-bay-fecal-experiment_Zymo.Ctrl2"
"1.1.1.361",0,0,0,0,15,0,0,0,0,0,381,0,4,50,21,12,13,0,42,8,25,0,0,0,6,23,14,2,17,5,0,666,33,58,0,0,7,5,0,54,15,47,0,2,0,0,0,0,23,5,0,4,0,19,0,2,0,0,22,14,0,0,10,0,0,26,0,0,0,13,4,0,0,6,2,11,0,0,0,2,6,26,0,0,20,0,8,18,73,0,4,0,23,50,65,40,51,55,4170,6002
"1.1.1.363",0,25555,2858,44,867,4531,1174,2326,999,911,7471,327,4205,13983,15046,6028,6494,7412,13730,18225,18134,8722,11474,14229,4599,9923,5972,10582,9670,6902,9382,229855,28400,15666,10236,16092,8835,12836,2754,27417,16684,12774,7301,7995,11167,19934,15183,15524,15411,8169,14,10946,17799,9830,13913,15232,14293,15034,18814,14208,1990,328,13422,25557,18729,10059,10899,7976,13361,15442,14882,10685,9915,8705,15198,13188,8232,15017,12609,8665,21681,18531,7140,7304,5871,13737,7486,9807,10205,12987,9426,2217,11394,10159,10028,10400,15160,11768,11879,16137
"1.1.1.367",0,52,24,0,0,58,8,611,68,0,0,0,168,505,464,191,134,113,340,439,380,118,216,276,165,462,128,251,284,229,175,5132,333,327,144,828,198,305,42,706,487,330,137,182,221,377,288,311,446,193,0,245,447,241,254,386,395,434,593,386,0,2,246,567,296,182,121,93,189,332,147,238,145,147,248,262,78,169,161,159,301,363,132,150,70,230,276,265,335,487,240,21,291,329,296,344,462,374,628,851
"1.1.1.368",0,203,196,0,21,0,0,0,0,0,0,0,432,1396,1328,776,542,351,1492,2024,1451,357,769,834,425,861,295,669,827,569,18,14496,1492,1494,300,279,708,1077,230,1989,1585,1193,200,462,583,502,651,661,1197,675,0,664,895,488,751,938,626,936,1138,965,0,65,491,476,105,335,181,184,90,572,458,146,31,387,193,229,119,80,25,20,169,326,135,76,116,57,595,618,959,1375,664,118,1180,1222,1396,1028,1483,1388,0,0
"1.1.1.369",0,4883,945,0,173,866,156,257,392,331,5089,103,457,2361,2234,1023,1432,1510,2626,3141,3914,2275,2584,3551,550,1722,869,2344,1921,1102,3271,60724,6442,3196,2428,5365,1155,2067,441,4371,2630,1761,930,882,1645,3961,2492,2774,2202,856,0,1576,3378,1758,2228,2294,2346,2282,2922,2256,457,0,3616,7072,5854,2613,2986,2365,4598,4240,3941,2873,2613,2202,4746,3928,2406,5224,4948,3096,6824,5560,2702,2444,1741,4791,1222,1796,1996,2684,1448,296,1628,1496,1997,1833,2597,1925,16680,24008
"1.1.1.37",0,18106,4477,81,842,4823,1873,3374,1618,1144,8103,613,9166,25326,27688,12045,11319,13249,25511,32097,31840,13515,19032,23301,8727,19510,10686,18996,16633,12362,14755,369424,45051,25382,15295,24604,14365,21097,4502,40905,25758,19312,10297,11778,16473,23488,22242,22825,24453,13149,28,16518,26867,14499,21050,23417,22131,21894,27783,22375,1259,212,23164,40662,27464,16600,16246,11855,19536,24718,21814,18814,17457,13061,23464,21368,12836,24587,19136,14082,29471,26112,12754,11923,9513,21158,12450,16681,18600,24646,15956,3477,19589,17972,18217,17386,26979,20292,4955,7059
"1.1.1.370",0,0,0,0,0,0,0,0,0,0,381,0,38,78,96,35,18,0,44,77,33,9,15,24,26,50,18,40,25,26,0,917,40,106,13,4,25,36,4,141,24,38,0,16,4,8,0,0,40,32,0,51,55,27,43,47,17,11,40,16,0,0,28,38,0,43,6,9,0,64,17,0,0,33,48,25,0,8,0,0,0,5,3,7,57,0,54,107,111,94,7,0,65,39,130,101,81,87,4170,6002
"1.1.1.371",0,1792,168,28,84,247,0,701,154,0,1009,0,93,494,394,255,357,81,427,385,534,183,404,332,72,232,133,326,391,200,201,12665,1383,462,448,1798,215,403,41,506,207,248,64,49,141,1411,160,246,266,138,0,208,248,160,194,264,149,226,452,255,30,36,466,474,300,248,212,251,174,342,272,178,556,178,270,262,108,403,260,158,322,307,218,103,194,190,273,346,387,405,434,121,330,289,546,405,769,329,4955,7059
"1.1.1.373",0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,1057
"1.1.1.374",0,0,0,0,0,0,0,0,0,0,0,73,24,14,144,56,21,12,3,28,27,0,0,11,15,27,10,12,23,6,58,1292,127,31,0,0,0,23,0,179,85,79,12,25,70,0,0,0,44,14,0,14,30,27,49,8,22,13,16,0,0,0,86,55,0,52,41,53,0,94,30,8,4,53,62,63,65,41,5,21,17,97,79,18,83,19,23,0,85,18,0,0,42,60,39,22,21,42,0,0
"1.1.1.376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.377",0,50,0,0,66,288,0,0,0,0,867,273,40,127,69,23,40,6,52,64,158,59,154,92,0,74,0,79,140,0,0,1992,182,7,142,132,30,2,0,29,25,0,0,15,144,0,0,0,34,9,0,30,115,98,116,107,39,26,0,0,21,0,101,466,147,58,121,4,309,71,56,190,0,36,119,138,14,35,0,0,155,246,32,13,68,145,0,20,38,66,34,0,23,22,58,59,62,35,0,0
"1.1.1.378",0,50,0,0,66,288,0,0,0,0,867,273,40,127,69,23,40,6,52,64,158,59,154,92,0,74,0,79,140,0,0,1992,182,7,142,132,30,2,0,29,25,0,0,15,144,0,0,0,34,9,0,30,115,98,116,107,39,26,0,0,21,0,101,466,147,58,121,4,309,71,56,190,0,36,119,138,14,35,0,0,155,246,32,13,68,145,0,20,38,66,34,0,23,22,58,59,62,35,0,0
"1.1.1.38",0,10792,4220,59,501,3163,1268,3574,1319,526,4040,185,5470,14900,16644,7314,8392,9438,16990,19256,19871,9058,12994,15162,5735,13913,7806,13149,11464,8111,8634,279104,33071,16251,11185,21478,8471,13102,2766,23336,14133,10592,6423,6757,9948,18385,13466,15256,14329,7544,10,9609,16558,9641,12460,14367,13878,12685,16764,13784,805,66,14938,25940,14423,10732,10079,8061,10225,14567,14451,12183,12814,8122,14244,13155,7544,13868,10086,7499,15988,14495,6328,7035,5500,11694,8534,11637,13290,17871,10769,2718,12661,11440,12680,11714,18441,12744,23945,33577
"1.1.1.380",0,360,138,10,32,692,9,0,5,0,494,9,64,342,252,166,382,303,395,520,790,630,1086,934,103,247,277,411,357,316,655,18198,1996,462,845,1066,216,585,87,568,410,190,131,197,332,810,725,920,296,119,0,174,629,462,316,385,377,271,498,500,0,0,515,1006,1256,255,438,607,1029,484,443,676,1605,165,685,706,498,1771,1740,1021,1137,976,328,357,141,1268,242,371,306,527,624,136,254,247,406,310,550,340,4955,7059
"1.1.1.381",0,10142,1381,0,189,1923,234,611,296,0,1765,0,1710,3700,4762,1941,1660,2590,4382,4684,4732,1908,2336,2962,1453,3626,2329,3266,2748,1747,1317,48066,7154,3223,2140,5275,2122,2962,802,3796,2397,1682,1334,1539,1743,2133,3186,2990,3018,1864,10,1833,3295,2105,2765,3151,2932,3122,3253,3400,404,65,3054,4360,1504,1422,1244,986,1200,1782,2590,1756,635,998,1457,1702,763,2002,1110,1202,896,998,479,993,538,1231,2142,2951,3093,3382,2237,524,3099,2588,2419,2582,3800,2766,2642,3531
"1.1.1.384",0,75,40,0,0,0,0,0,0,0,0,0,2,68,41,12,30,0,6,53,40,7,31,29,40,109,16,161,142,341,38,970,75,49,41,35,26,0,0,2,9,0,11,5,31,86,10,36,5,0,0,0,21,0,0,0,20,0,5,4,0,0,69,35,29,104,61,63,42,85,21,64,203,6,104,74,25,99,84,51,103,96,74,141,44,139,6,0,26,36,14,0,45,19,41,0,61,36,0,0
"1.1.1.385",0,48,47,0,3,149,0,3,0,0,381,20,3,8,8,9,0,0,14,5,0,0,0,59,9,5,0,0,3,5,70,525,6,2,0,1487,0,5,0,37,12,16,0,0,0,0,0,8,0,0,0,23,47,4,87,4,21,82,118,0,0,0,35,42,56,86,0,0,46,13,12,35,0,16,22,6,14,53,88,22,0,0,13,14,5,0,19,0,9,4,0,0,0,41,12,12,44,32,4170,6002
"1.1.1.387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.388",0,179,0,0,10,30,0,0,0,0,381,0,0,21,32,10,9,0,65,58,80,0,14,62,0,37,12,19,13,11,32,1281,113,79,36,0,0,67,6,55,63,0,17,0,25,26,26,33,49,0,0,26,62,19,52,63,0,80,38,40,0,0,22,44,0,5,31,13,0,42,3,0,0,12,18,62,0,4,12,0,23,32,0,0,10,12,21,58,21,56,0,0,28,16,39,35,0,52,4170,6002
"1.1.1.394",0,1098,822,0,0,315,247,0,276,0,92,0,2299,5894,5897,2882,2662,3499,6515,7194,7456,2935,4002,4839,2048,5586,3153,5499,4508,3147,1795,70930,10719,5484,2326,3117,3197,4701,1183,7296,4871,3062,1534,2067,2780,3287,4187,4193,4642,2838,19,3020,5027,3126,4562,4813,4327,4636,4918,4627,0,0,4960,6533,2334,2454,2320,1632,1648,3614,3928,4127,2973,2020,2344,2515,1090,2551,1450,1452,2064,2038,822,1579,910,1672,2403,3322,3696,6253,2824,652,4203,3735,4209,3183,4722,3886,0,0
"1.1.1.396",0,84,0,0,21,126,313,0,0,0,28,0,72,267,269,84,177,213,279,450,499,333,644,638,73,171,148,271,281,144,406,8021,797,314,422,431,348,474,102,961,483,423,193,198,274,1277,530,672,494,380,0,341,532,347,270,426,214,496,541,351,300,65,389,661,1006,99,257,355,796,381,296,426,720,114,458,487,406,1045,1036,635,946,724,245,306,132,695,143,269,217,352,269,100,245,175,174,254,385,281,0,0
"1.1.1.399",0,37587,7482,168,1765,7853,3433,6335,2443,1896,14357,561,15805,45869,48931,21138,21310,25153,48037,58505,58313,25898,35770,42862,15933,37370,19926,35831,31046,22771,31207,741032,87770,48433,28933,44391,26406,39815,8480,79257,49114,36102,18812,20784,30496,43995,41421,43566,45392,23678,37,30468,50501,27764,38665,44278,41283,40611,51991,41887,2647,385,45334,82497,54923,30690,31131,23839,40339,46329,41997,38500,36156,24304,46822,42214,25212,48801,38294,27493,58436,50698,24772,23277,17307,41629,22899,31242,36765,49303,28317,6234,35921,33538,36174,33124,49979,38377,16191,22142
"1.1.1.4",0,3059,856,16,120,1999,184,576,842,789,842,36,1123,4543,4444,1451,1880,2817,3543,6226,6648,3680,4210,5604,1529,2773,1828,3594,2908,2013,3912,71617,9493,4581,3674,5575,2930,3875,830,7348,4083,2756,2418,2339,3600,4458,5947,5826,4518,2330,0,3572,6102,3402,4466,5066,6470,5111,6165,4778,332,0,5873,12549,9020,5682,4726,3246,6502,7121,6661,4699,4430,3484,7693,6355,4504,8262,6912,5164,10841,8068,3980,4279,3112,8248,1752,2242,2504,3266,2676,578,3090,2739,2677,2669,3446,3074,4170,6002
"1.1.1.40",0,23498,5276,34,995,4262,2032,3138,622,1042,7720,799,8323,21779,23694,10129,9937,12438,21563,27625,29910,13484,18992,21571,8037,17984,10601,18335,16804,11143,11722,347925,42150,19887,15325,25877,13305,19305,4376,33883,21370,15221,9356,10861,14623,28456,21854,22368,21245,11495,19,13697,23693,13823,18440,20314,17903,18852,23120,20658,2127,176,21184,36043,22839,12301,13930,10420,14191,19923,18265,15602,16099,10507,18275,18146,10639,18664,13776,10965,20622,20185,8955,9282,7562,15432,11385,15487,16389,23211,16191,3738,16103,14714,14701,14845,24138,15886,3427,4588
"1.1.1.400",0,0,0,0,0,0,0,0,0,0,0,0,24,0,22,0,33,38,0,0,64,0,59,53,0,0,0,0,34,0,415,769,64,0,100,140,0,19,0,0,0,0,44,0,40,219,49,76,0,0,0,16,53,25,0,35,33,28,19,26,0,0,215,653,788,95,135,175,866,97,142,462,371,36,455,314,262,698,686,395,507,410,218,195,76,547,23,0,16,0,27,0,0,0,0,0,0,18,0,0
"1.1.1.401",0,618,64,0,100,87,0,0,12,0,867,273,65,400,408,101,366,729,562,1027,1314,708,851,1187,117,327,300,638,443,251,933,15292,2233,513,759,1124,344,517,148,705,424,156,265,250,489,1310,905,991,410,219,0,312,1034,507,513,555,1084,576,558,720,62,0,1034,2415,1951,799,912,766,1488,1224,1146,1025,904,617,1548,1123,864,2077,1748,1218,2411,2018,1003,963,392,1826,223,279,219,458,446,101,344,239,275,326,434,241,0,0
"1.1.1.402",0,46,0,0,0,61,0,0,0,311,0,0,3,29,0,7,35,39,52,129,182,76,175,111,0,32,0,28,45,48,339,3544,458,57,112,228,48,64,5,54,61,6,44,74,122,1588,305,498,28,4,0,49,187,109,122,66,128,89,63,104,83,0,153,440,590,67,229,153,434,264,226,183,196,111,401,377,302,730,563,433,790,508,221,315,125,530,37,29,0,97,124,0,46,20,26,45,73,0,0,0
"1.1.1.403",0,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,15,0,10,9,0,0,0,0,5,0,0,0,16,0,0,4,0,0,12,17,0,0,0,15,0,0,0,12,6,0,17,0,0,19,18,0,21,26,0,30,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.404",0,46,0,0,68,133,0,284,0,0,0,0,0,3,0,0,9,0,6,0,0,0,0,0,0,3,0,21,13,6,0,696,47,0,56,84,5,0,0,34,0,0,0,0,20,0,10,8,5,0,0,3,0,15,0,0,0,0,0,0,11,0,13,11,31,0,18,0,0,24,14,0,0,8,34,15,14,0,0,0,36,119,0,7,15,0,0,0,0,23,0,0,0,0,0,5,3,0,0,0
"1.1.1.405",0,238,80,0,59,275,0,0,33,5,0,0,0,21,75,22,45,29,9,50,54,0,88,35,0,16,7,31,62,73,334,2254,120,3,44,62,12,3,3,18,3,22,18,21,65,51,46,40,28,0,0,8,66,0,10,2,60,0,3,17,6,5,172,326,400,77,148,207,325,161,111,180,202,57,290,291,221,605,534,354,540,292,140,273,114,434,0,0,0,95,27,11,47,16,14,5,78,8,1872,2527
"1.1.1.406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.407",0,0,0,0,0,0,0,0,0,311,0,0,0,29,0,0,26,39,45,0,76,44,71,88,0,29,0,28,42,48,0,1439,264,57,84,178,23,31,0,0,37,0,0,37,48,0,121,71,0,0,0,29,57,59,48,33,68,49,40,68,0,0,0,39,0,0,36,9,24,26,110,0,12,48,0,0,0,24,0,0,0,0,0,0,0,0,37,29,0,97,117,0,46,20,17,45,63,0,0,0
"1.1.1.408",0,3883,1058,5,105,1052,285,865,756,0,2006,102,3040,8729,8652,4145,3792,4690,9672,10044,10050,3884,5082,6680,3151,8288,4358,7258,6226,3967,4648,120548,15318,8936,3532,5761,4931,6781,1588,13508,8411,6322,2574,3328,4724,5771,6312,6424,8100,4491,19,4844,8196,4545,6930,7746,6867,7302,8605,7025,241,86,8058,12854,7933,5101,4768,3266,5933,7057,7284,6536,4534,3660,6710,5906,3102,6227,4788,3586,8545,6862,2952,3342,2244,5411,3964,5558,7092,9358,4017,844,6504,5794,7036,5714,8220,6901,0,0
"1.1.1.409",0,3883,1058,5,105,1052,285,865,756,0,2006,102,3040,8729,8652,4145,3792,4690,9672,10044,10050,3884,5082,6680,3151,8288,4358,7258,6226,3967,4648,120548,15318,8936,3532,5761,4931,6781,1588,13508,8411,6322,2574,3328,4724,5771,6312,6424,8100,4491,19,4844,8196,4545,6930,7746,6867,7302,8605,7025,241,86,8058,12854,7933,5101,4768,3266,5933,7057,7284,6536,4534,3660,6710,5906,3102,6227,4788,3586,8545,6862,2952,3342,2244,5411,3964,5558,7092,9358,4017,844,6504,5794,7036,5714,8220,6901,0,0
"1.1.1.41",0,1597,645,57,52,888,343,1382,81,176,187,188,1165,3841,4394,1983,1654,2104,3821,4689,4212,1582,2184,2913,1452,3266,1470,2569,2134,1623,1990,58909,5661,4196,1560,2149,1515,2810,492,6010,3414,2856,1139,1486,2338,4743,2675,3012,3704,1830,0,2566,4209,1955,3049,3566,3386,3151,4092,3235,324,35,3436,5578,3816,3837,2294,1485,2606,3628,2688,2016,2906,1890,3740,3606,1994,3039,1942,1940,5021,3734,2048,2104,1697,2740,1617,2521,3233,3836,1813,242,2496,2763,3182,2600,3807,3063,0,0
"1.1.1.410",0,550,18,0,214,242,41,676,12,0,950,0,40,149,106,55,262,356,224,604,894,613,802,681,27,152,200,470,374,88,1226,11591,1194,151,887,1068,183,276,71,241,210,6,155,198,303,1740,616,756,214,110,0,167,671,350,247,315,516,348,187,378,231,51,1083,1738,2152,638,834,750,1863,1205,1123,1132,1358,480,1312,1342,990,2515,2203,1558,2303,1568,1325,972,352,2137,164,166,124,268,390,82,114,43,94,114,274,98,452,615
"1.1.1.411",0,196,40,0,242,572,7,284,12,0,1929,0,8,110,54,32,172,397,173,345,570,557,812,644,12,113,239,375,363,231,474,9563,1320,213,729,1517,88,251,94,197,181,0,66,146,136,759,496,687,135,115,0,162,573,354,191,236,366,274,218,337,276,51,664,1097,1564,254,522,550,1314,594,865,871,1328,273,653,785,640,1822,1808,1116,1340,956,402,475,91,1295,155,193,107,236,352,136,81,33,39,62,255,92,785,1057
"1.1.1.412",0,1506,1030,29,79,445,534,942,750,64,816,0,2764,7317,7480,3389,3404,5346,8141,9046,10605,4708,5862,7143,2407,6689,4113,7170,5801,3801,5355,109556,15991,7160,4259,5669,4075,6532,1551,9603,6200,4015,2310,2863,4314,6193,6469,6811,6150,3638,19,4232,8149,4527,6415,6952,7284,6960,6878,7027,310,26,8497,14874,9972,5466,4978,3581,8146,7231,7837,7411,5094,3844,7328,6195,3534,8052,6015,4682,10409,7354,3222,4354,2099,6713,3180,4424,4570,7895,4082,869,5361,4579,5297,4351,6218,4866,0,0
"1.1.1.413",0,186,0,0,0,0,0,701,89,0,0,0,0,6,0,16,41,8,44,7,11,0,11,18,0,27,14,65,61,32,2,1784,308,102,130,168,12,24,0,25,14,14,24,11,21,13,7,16,37,14,0,52,29,34,32,92,34,86,59,67,0,26,0,11,0,13,10,0,0,7,2,5,0,6,14,0,0,10,5,4,25,0,0,3,4,4,54,52,35,66,24,16,112,58,224,73,118,39,0,0
"1.1.1.42",0,27284,6260,76,1122,5500,2283,3321,1798,1416,11401,643,10628,29323,32194,13828,13545,15279,29955,37824,37733,17365,24562,28014,10279,23115,13730,23058,20914,14565,17372,478647,59484,29866,21359,36376,17985,26309,5886,49655,31173,23833,13173,14968,21012,34611,29082,29940,30158,16332,32,20093,32962,18676,26100,28712,25825,25950,33869,27282,2343,289,26469,48504,33615,17002,19904,14616,22740,27461,24837,21604,23956,14671,27235,25176,15398,27836,21625,15672,34147,30936,13250,12751,10309,23751,16542,22382,23542,31496,22156,5106,23554,21174,21328,22322,34714,24077,8056,11209
"1.1.1.43",0,166,279,0,43,175,309,0,26,0,113,27,62,199,136,51,147,346,380,384,714,644,709,509,155,270,309,464,422,173,515,12408,2033,428,824,1042,459,718,149,851,550,143,435,413,576,730,1536,1397,809,516,0,559,1191,913,801,799,868,946,905,925,12,0,507,1486,1192,52,629,332,609,379,414,307,604,187,653,592,499,385,272,214,761,712,130,110,71,358,219,390,273,532,787,216,417,267,217,362,577,242,785,1057
"1.1.1.44",0,10298,2777,50,502,4401,1084,1896,1405,836,6104,70,4335,13695,14273,5944,6653,8176,14306,19208,18879,8837,11318,14314,4971,11871,6554,11716,10014,6867,9474,220001,26406,15387,8983,14997,8196,12273,2803,25282,15616,11986,6591,7155,9991,18655,13781,14337,14607,8000,14,10211,17015,9155,13639,15268,14369,14326,18041,14316,1363,219,15009,25275,17257,11642,10538,8257,13140,16068,15494,12701,13057,8630,15694,13445,7795,16233,12928,9570,21515,16935,7229,8556,6276,14473,6767,8734,9899,13598,8288,1904,10535,9711,10044,9244,13714,10734,16505,23193
"1.1.1.47",0,1558,863,0,473,1371,209,917,690,334,2306,34,1150,3859,4456,1734,1705,3661,4652,5096,5740,2949,2820,4489,1279,3611,2316,3936,2878,1677,4891,62475,8299,3993,2844,8264,1914,3379,762,4638,2921,1864,1669,1580,2254,4218,4800,4275,3438,2004,0,2438,5517,2714,4032,4159,5426,4656,4399,4850,385,161,5759,10416,7366,3668,3483,2408,6283,4420,6472,4834,2682,2592,5642,4988,2711,7559,5828,4414,8251,5208,3239,3361,1567,5972,1500,2067,2100,3370,2014,382,2492,2262,2349,2057,2694,2235,10496,14898
"1.1.1.48",0,386,53,0,143,559,7,0,42,311,1367,273,52,280,114,56,378,586,360,796,1300,1031,1469,1280,44,150,314,697,802,294,826,20390,2394,309,1266,1957,268,397,100,243,325,38,252,339,489,2468,1230,1190,222,156,0,232,946,632,430,429,674,482,397,620,810,11,830,1766,1801,766,749,735,1589,1144,1448,1262,2224,619,1117,997,702,2922,3098,1834,1404,1156,900,728,324,2438,184,256,130,508,661,98,158,77,146,146,533,157,0,0
