"","description"
"1.14.99.58","Heme oxygenase (biliverdin-IX-beta and delta-forming)"
"1.15.1.1","Superoxide dismutase"
"1.15.1.2","Superoxide reductase"
"1.16.1.1","Mercury(II) reductase"
"1.16.1.10","Ferric-chelate reductase (NAD(P)H)"
"1.16.1.3","Aquacobalamin reductase"
"1.16.1.9","Ferric-chelate reductase (NADPH)"
"1.16.3.1","Ferroxidase"
"1.16.3.2","Bacterial non-heme ferritin"
"1.16.3.3","Manganese oxidase"
"1.16.8.1","Cob(II)yrinic acid a,c-diamide reductase"
"1.17.1.1","CDP-4-dehydro-6-deoxyglucose reductase"
"1.17.1.10","Formate dehydrogenase (NADP(+))"
"1.17.1.11","Formate dehydrogenase (NAD(+), ferredoxin)"
"1.17.1.4","Xanthine dehydrogenase"
"1.17.1.5","Nicotinate dehydrogenase"
"1.17.1.8","4-hydroxy-tetrahydrodipicolinate reductase"
"1.17.1.9","Formate dehydrogenase"
"1.17.2.1","Nicotinate dehydrogenase (cytochrome)"
"1.17.2.2","Lupanine 17-hydroxylase (cytochrome c)"
"1.17.3.2","Xanthine oxidase"
"1.17.4.1","Ribonucleoside-diphosphate reductase"
"1.17.4.2","Ribonucleoside-triphosphate reductase (thioredoxin)"
"1.17.5.1","Phenylacetyl-CoA dehydrogenase"
"1.17.5.3","Formate dehydrogenase-N"
"1.17.7.1","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)"
"1.17.7.3","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)"
"1.17.7.4","4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"1.17.8.1","Hydroxysqualene dehydroxylase"
"1.17.98.2","Bacteriochlorophyllide c C-7(1)-hydroxylase"
"1.17.99.1","Transferred entry 1.17.9.1"
"1.17.99.2","Ethylbenzene hydroxylase"
"1.17.99.6","Epoxyqueuosine reductase"
"1.17.99.7","Formate dehydrogenase (acceptor)"
"1.18.1.1","Rubredoxin--NAD(+) reductase"
"1.18.1.2","Ferredoxin--NADP(+) reductase"
"1.18.1.3","Ferredoxin--NAD(+) reductase"
"1.18.1.7","specific)"
"1.18.6.1","Nitrogenase"
"1.19.1.1","Flavodoxin--NADP(+) reductase"
"1.2.1.10","Acetaldehyde dehydrogenase (acetylating)"
"1.2.1.11","Aspartate-semialdehyde dehydrogenase"
"1.2.1.12","Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"1.2.1.16","Succinate-semialdehyde dehydrogenase (NAD(P)(+))"
"1.2.1.18","Malonate-semialdehyde dehydrogenase (acetylating)"
"1.2.1.19","Aminobutyraldehyde dehydrogenase"
"1.2.1.20","Glutarate-semialdehyde dehydrogenase"
"1.2.1.21","Glycolaldehyde dehydrogenase"
"1.2.1.22","Lactaldehyde dehydrogenase"
"1.2.1.24","Succinate-semialdehyde dehydrogenase (NAD(+))"
"1.2.1.26","2,5-dioxovalerate dehydrogenase"
"1.2.1.27","Methylmalonate-semialdehyde dehydrogenase (CoA acylating)"
"1.2.1.28","Benzaldehyde dehydrogenase (NAD(+))"
"1.2.1.3","Aldehyde dehydrogenase (NAD(+))"
"1.2.1.32","Aminomuconate-semialdehyde dehydrogenase"
"1.2.1.36","Retinal dehydrogenase"
"1.2.1.38","N-acetyl-gamma-glutamyl-phosphate reductase"
"1.2.1.39","Phenylacetaldehyde dehydrogenase"
"1.2.1.4","Aldehyde dehydrogenase (NADP(+))"
"1.2.1.41","Glutamate-5-semialdehyde dehydrogenase"
"1.2.1.46","Formaldehyde dehydrogenase"
"1.2.1.5","Aldehyde dehydrogenase (NAD(P)(+))"
"1.2.1.50","Long-chain-fatty-acyl-CoA reductase"
"1.2.1.54","Gamma-guanidinobutyraldehyde dehydrogenase"
"1.2.1.58","Phenylglyoxylate dehydrogenase (acylating)"
"1.2.1.59","Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)"
"1.2.1.60","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase"
"1.2.1.67","Vanillin dehydrogenase"
"1.2.1.68","Coniferyl-aldehyde dehydrogenase"
"1.2.1.70","Glutamyl-tRNA reductase"
"1.2.1.71","Succinylglutamate-semialdehyde dehydrogenase"
"1.2.1.72","Erythrose-4-phosphate dehydrogenase"
"1.2.1.75","Malonyl CoA reductase (malonate semialdehyde-forming)"
"1.2.1.76","Succinate-semialdehyde dehydrogenase (acetylating)"
"1.2.1.77","3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))"
"1.2.1.78","2-formylbenzoate dehydrogenase"
"1.2.1.79","Succinate-semialdehyde dehydrogenase (NADP(+))"
"1.2.1.8","Betaine-aldehyde dehydrogenase"
"1.2.1.80","Long-chain acyl-[acyl-carrier-protein] reductase"
"1.2.1.81","Sulfoacetaldehyde dehydrogenase (acylating)"
"1.2.1.83","3-succinoylsemialdehyde-pyridine dehydrogenase"
"1.2.1.84","Alcohol-forming fatty acyl-CoA reductase"
"1.2.1.85","2-hydroxymuconate-6-semialdehyde dehydrogenase"
"1.2.1.87","Propanal dehydrogenase (CoA-propanoylating)"
"1.2.1.88","L-glutamate gamma-semialdehyde dehydrogenase"
"1.2.1.9","Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))"
"1.2.1.90","Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+))"
"1.2.1.91","3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
"1.2.1.92","3,6-anhydro-alpha-L-galactose dehydrogenase"
"1.2.1.96","4-hydroxybenzaldehyde dehydrogenase (NADP(+))"
"1.2.1.98","2-hydroxy-2-methylpropanal dehydrogenase"
"1.2.1.99","4-(gamma-glutamylamino)butanal dehydrogenase"
"1.2.3.3","Pyruvate oxidase"
"1.2.4.1","Pyruvate dehydrogenase (acetyl-transferring)"
"1.2.4.2","Oxoglutarate dehydrogenase (succinyl-transferring)"
"1.2.4.4","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)"
"1.2.5.1","Pyruvate dehydrogenase (quinone)"
"1.2.5.3","Aerobic carbon monoxide dehydrogenase"
"1.2.7.1","Pyruvate synthase"
"1.2.7.10","Oxalate oxidoreductase"
"1.2.7.11","2-oxoacid oxidoreductase (ferredoxin)"
"1.2.7.12","Formylmethanofuran dehydrogenase"
"1.2.7.3","2-oxoglutarate synthase"
"1.2.7.4","Anaerobic carbon-monoxide dehydrogenase"
"1.2.7.5","Aldehyde ferredoxin oxidoreductase"
"1.2.7.6","Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)"
"1.2.7.7","3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)"
"1.2.7.8","Indolepyruvate ferredoxin oxidoreductase"
"1.2.98.1","Formaldehyde dismutase"
"1.2.99.10","4,4'-diapolycopenoate synthase"
"1.2.99.7","Aldehyde dehydrogenase (FAD-independent)"
"1.2.99.8","Glyceraldehyde dehydrogenase (FAD-containing)"
"1.20.1.1","Phosphonate dehydrogenase"
"1.20.2.1","Arsenate reductase (cytochrome c)"
"1.20.4.1","Arsenate reductase (glutaredoxin)"
"1.20.4.3","Mycoredoxin"
"1.20.9.1","Arsenate reductase (azurin)"
"1.21.3.1","Isopenicillin-N synthase"
"1.21.4.1","D-proline reductase"
"1.21.4.2","Glycine reductase"
"1.21.4.3","Sarcosine reductase"
"1.21.4.4","Betaine reductase"
"1.21.98.1","Cyclic dehypoxanthinyl futalosine synthase"
"1.21.98.3","Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase"
"1.21.99.4","Thyroxine 5'-deiodinase"
"1.21.99.5","Tetrachloroethene reductive dehalogenase"
"1.23.1.1","(+)-pinoresinol reductase"
"1.23.1.2","(+)-lariciresinol reductase"
"1.23.1.3","(-)-pinoresinol reductase"
"1.23.1.4","(-)-lariciresinol reductase"
"1.3.1.1","Dihydrouracil dehydrogenase (NAD(+))"
"1.3.1.10","Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
"1.3.1.101","2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)"
"1.3.1.104","Enoyl-[acyl-carrier-protein] reductase"
"1.3.1.106","Cobalt-precorrin-6A reductase"
"1.3.1.108","Caffeoyl-CoA reductase"
"1.3.1.111","Geranylgeranyl-bacteriochlorophyllide a reductase"
"1.3.1.113","(4-alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate reductase"
"1.3.1.12","Prephenate dehydrogenase"
"1.3.1.13","Prephenate dehydrogenase (NADP(+))"
"1.3.1.14","Dihydroorotate dehydrogenase (NAD(+))"
"1.3.1.2","Dihydropyrimidine dehydrogenase (NADP(+))"
"1.3.1.20","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"1.3.1.21","7-dehydrocholesterol reductase"
"1.3.1.22","3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))"
"1.3.1.24","Biliverdin reductase"
"1.3.1.25","1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
"1.3.1.28","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
"1.3.1.29","Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase"
"1.3.1.31","2-enoate reductase"
"1.3.1.32","Maleylacetate reductase"
"1.3.1.33","Protochlorophyllide reductase"
"1.3.1.34","2,4-dienoyl-CoA reductase (NADPH)"
"1.3.1.43","Arogenate dehydrogenase"
"1.3.1.44","Trans-2-enoyl-CoA reductase (NAD(+))"
"1.3.1.45","2'-hydroxyisoflavone reductase"
"1.3.1.49","Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase"
"1.3.1.53","(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase"
"1.3.1.54","Precorrin-6A reductase"
"1.3.1.58","2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase"
"1.3.1.6","Fumarate reductase (NADH)"
"1.3.1.60","Dibenzothiophene dihydrodiol dehydrogenase"
"1.3.1.62","Pimeloyl-CoA dehydrogenase"
"1.3.1.64","Phthalate 4,5-cis-dihydrodiol dehydrogenase"
"1.3.1.70","Delta(14)-sterol reductase"
"1.3.1.71","Delta(24(24(1)))-sterol reductase"
"1.3.1.72","Delta(24)-sterol reductase"
"1.3.1.74","2-alkenal reductase (NAD(P)(+))"
"1.3.1.75","3,8-divinyl protochlorophyllide a 8-vinyl-reductase (NADPH)"
"1.3.1.76","Precorrin-2 dehydrogenase"
"1.3.1.78","Arogenate dehydrogenase (NADP(+))"
"1.3.1.83","Geranylgeranyl diphosphate reductase"
"1.3.1.84","Acrylyl-CoA reductase (NADPH)"
"1.3.1.85","Crotonyl-CoA carboxylase/reductase"
"1.3.1.86","Crotonyl-CoA reductase"
"1.3.1.87","3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase"
"1.3.1.88","tRNA-dihydrouridine(16/17) synthase (NAD(P)(+))"
"1.3.1.89","tRNA-dihydrouridine(47) synthase (NAD(P)(+))"
"1.3.1.9","Enoyl-[acyl-carrier-protein] reductase (NADH)"
"1.3.1.93","Very-long-chain enoyl-CoA reductase"
"1.3.1.98","UDP-N-acetylmuramate dehydrogenase"
"1.3.3.11","Pyrroloquinoline-quinone synthase"
"1.3.3.13","Albonoursin synthase"
"1.3.3.15","Coproporphyrinogen III oxidase (coproporphyrin-forming)"
"1.3.3.3","Coproporphyrinogen oxidase"
"1.3.3.4","Protoporphyrinogen oxidase"
"1.3.3.5","Bilirubin oxidase"
"1.3.3.6","Acyl-CoA oxidase"
"1.3.4.1","Fumarate reductase (CoM/CoB)"
"1.3.5.1","Succinate dehydrogenase (quinone)"
"1.3.5.2","Dihydroorotate dehydrogenase (quinone)"
"1.3.5.3","Protoporphyrinogen IX dehydrogenase (menaquinone)"
"1.3.5.4","Fumarate reductase (quinol)"
"1.3.5.5","15-cis-phytoene desaturase"
"1.3.5.6","9,9'-di-cis-zeta-carotene desaturase"
"1.3.7.1","6-hydroxynicotinate reductase"
"1.3.7.11","2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase"
"1.3.7.13","3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin)"
"1.3.7.14","3,8-divinyl chlorophyllide a reductase"
"1.3.7.15","Chlorophyllide a reductase"
"1.3.7.2","15,16-dihydrobiliverdin:ferredoxin oxidoreductase"
"1.3.7.3","Phycoerythrobilin:ferredoxin oxidoreductase"
"1.3.7.5","Phycocyanobilin:ferredoxin oxidoreductase"
"1.3.7.7","Ferredoxin:protochlorophyllide reductase (ATP-dependent)"
"1.3.7.8","Benzoyl-CoA reductase"
"1.3.7.9","4-hydroxybenzoyl-CoA reductase"
"1.3.8.1","Short-chain acyl-CoA dehydrogenase"
"1.3.8.10","Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase"
"1.3.8.11","flavoprotein)"
"1.3.8.12","(2S)-methylsuccinyl-CoA dehydrogenase"
"1.3.8.13","Crotonobetainyl-CoA reductase"
"1.3.8.14","L-prolyl-[peptidyl-carrier protein] dehydrogenase"
"1.3.8.2","4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)"
"1.3.8.3","(R)-benzylsuccinyl-CoA dehydrogenase"
"1.3.8.4","Isovaleryl-CoA dehydrogenase"
"1.3.8.6","Glutaryl-CoA dehydrogenase (ETF)"
"1.3.8.7","Medium-chain acyl-CoA dehydrogenase"
"1.3.8.8","Long-chain-acyl-CoA dehydrogenase"
"1.3.98.1","Dihydroorotate oxidase (fumarate)"
"1.3.98.3","Coproporphyrinogen dehydrogenase"
"1.3.99.12","2-methylacyl-CoA dehydrogenase"
"1.3.99.16","Isoquinoline 1-oxidoreductase"
"1.3.99.23","All-trans-retinol 13,14-reductase"
"1.3.99.26","All-trans-zeta-carotene desaturase"
"1.3.99.27","1-hydroxycarotenoid 3,4-desaturase"
"1.3.99.28","Phytoene desaturase (neurosporene-forming)"
"1.3.99.29","Phytoene desaturase (zeta-carotene-forming)"
"1.3.99.31","Phytoene desaturase (lycopene-forming)"
"1.3.99.32","Glutaryl-CoA dehydrogenase (acceptor)"
"1.3.99.33","Urocanate reductase"
"1.3.99.37","1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase"
"1.3.99.38","Menaquinone-9-beta-reductase"
"1.3.99.4","3-oxosteroid 1-dehydrogenase"
"1.3.99.5","3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)"
"1.3.99.8","2-furoyl-CoA dehydrogenase"
"1.4.1.1","Alanine dehydrogenase"
"1.4.1.11","L-erythro-3,5-diaminohexanoate dehydrogenase"
"1.4.1.12","2,4-diaminopentanoate dehydrogenase"
"1.4.1.13","Glutamate synthase (NADPH)"
"1.4.1.14","Glutamate synthase (NADH)"
"1.4.1.16","Diaminopimelate dehydrogenase"
"1.4.1.18","Lysine 6-dehydrogenase"
"1.4.1.2","Glutamate dehydrogenase"
"1.4.1.20","Phenylalanine dehydrogenase"
"1.4.1.21","Aspartate dehydrogenase"
"1.4.1.23","Valine dehydrogenase (NAD(+))"
"1.4.1.24","3-dehydroquinate synthase II"
"1.4.1.25","L-arginine dehydrogenase"
"1.4.1.26","2,4-diaminopentanoate dehydrogenase (NAD(+))"
"1.4.1.3","Glutamate dehydrogenase (NAD(P)(+))"
"1.4.1.4","Glutamate dehydrogenase (NADP(+))"
"1.4.1.9","Leucine dehydrogenase"
"1.4.3.10","Putrescine oxidase"
"1.4.3.16","L-aspartate oxidase"
"1.4.3.19","Glycine oxidase"
"1.4.3.21","Primary-amine oxidase"
"1.4.3.25","L-arginine oxidase"
"1.4.3.3","D-amino-acid oxidase"
"1.4.3.4","Monoamine oxidase"
"1.4.3.5","Pyridoxal 5'-phosphate synthase"
"1.4.4.2","Glycine dehydrogenase (aminomethyl-transferring)"
"1.4.5.1","D-amino acid dehydrogenase (quinone)"
"1.4.7.1","Glutamate synthase (ferredoxin)"
"1.4.9.1","Methylamine dehydrogenase (amicyanin)"
"1.4.9.2","Aralkylamine dehydrogenase (azurin)"
"1.4.99.5","Glycine dehydrogenase (cyanide-forming)"
"1.4.99.6","D-arginine dehydrogenase"
"1.5.1.1","(NAD(P)H)"
"1.5.1.10","Saccharopine dehydrogenase (NADP(+), L-glutamate-forming)"
"1.5.1.2","Pyrroline-5-carboxylate reductase"
"1.5.1.20","Methylenetetrahydrofolate reductase (NAD(P)H)"
"1.5.1.21","1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)"
"1.5.1.24","N(5)-(carboxyethyl)ornithine synthase"
"1.5.1.25","Thiomorpholine-carboxylate dehydrogenase"
"1.5.1.28","Opine dehydrogenase"
"1.5.1.3","Dihydrofolate reductase"
"1.5.1.33","Pteridine reductase"
"1.5.1.34","6,7-dihydropteridine reductase"
"1.5.1.36","Flavin reductase (NADH)"
"1.5.1.38","FMN reductase (NADPH)"
"1.5.1.39","FMN reductase (NAD(P)H)"
"1.5.1.40","8-hydroxy-5-deazaflavin:NADPH oxidoreductase"
"1.5.1.41","Riboflavin reductase (NAD(P)H)"
"1.5.1.43","Carboxynorspermidine synthase"
"1.5.1.45","FAD reductase (NAD(P)H)"
"1.5.1.47","Dihydromethanopterin reductase (NAD(P)(+))"
"1.5.1.48","2-methyl-1-pyrroline reductase"
"1.5.1.49","1-pyrroline-2-carboxylate reductase (NAD(P)H)"
"1.5.1.5","Methylenetetrahydrofolate dehydrogenase (NADP(+))"
"1.5.1.50","Dihydromonapterin reductase"
"1.5.1.51","N-((2S)-2-amino-2-carboxyethyl)-L-glutamate dehydrogenase"
"1.5.1.6","Formyltetrahydrofolate dehydrogenase"
"1.5.1.7","Saccharopine dehydrogenase (NAD(+), L-lysine-forming)"
"1.5.1.8","Saccharopine dehydrogenase (NADP(+), L-lysine-forming)"
"1.5.1.9","Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"
"1.5.3.1","Sarcosine oxidase"
"1.5.3.19","4-methylaminobutanoate oxidase (formaldehyde-forming)"
"1.5.3.21","4-methylaminobutanoate oxidase (methylamine-forming)"
"1.5.3.22","Coenzyme F420H(2) oxidase"
"1.5.3.7","L-pipecolate oxidase"
"1.5.5.1","Electron-transferring-flavoprotein dehydrogenase"
"1.5.5.2","Proline dehydrogenase"
"1.5.7.2","Coenzyme F420 oxidoreductase (ferredoxin)"
"1.5.8.1","Dimethylamine dehydrogenase"
"1.5.8.2","Trimethylamine dehydrogenase"
"1.5.8.3","Sarcosine dehydrogenase"
"1.5.8.4","Dimethylglycine dehydrogenase"
"1.5.98.1","Methylenetetrahydromethanopterin dehydrogenase"
"1.5.98.2","5,10-methylenetetrahydromethanopterin reductase"
"1.5.98.3","Coenzyme F420:methanophenazine dehydrogenase"
"1.5.99.12","Cytokinin dehydrogenase"
"1.5.99.14","6-hydroxypseudooxynicotine dehydrogenase"
"1.5.99.15","Dihydromethanopterin reductase (acceptor)"
"1.5.99.4","Nicotine dehydrogenase"
"1.5.99.5","Methylglutamate dehydrogenase"
"1.5.99.6","Spermidine dehydrogenase"
"1.6.1.1","NAD(P)(+) transhydrogenase (Si-specific)"
"1.6.1.2","NAD(P)(+) transhydrogenase (Re/Si-specific)"
"1.6.2.2","Cytochrome-b5 reductase"
"1.6.2.4","NADPH--hemoprotein reductase"
"1.6.3.1","NAD(P)H oxidase (H(2)O(2)-forming)"
"1.6.3.3","NADH oxidase (H(2)O(2)-forming)"
"1.6.3.4","NADH oxidase (H(2)O-forming)"
"1.6.5.2","NAD(P)H dehydrogenase (quinone)"
"1.6.5.3","Transferred entry 7.1.1.2"
"1.6.5.5","NADPH:quinone reductase"
"1.6.5.8","Transferred entry 7.2.1.1"
"1.6.99.1","NADPH dehydrogenase"
"1.6.99.3","NADH dehydrogenase"
"1.7.1.13","PreQ(1) synthase"
"1.7.1.15","Nitrite reductase (NADH)"
"1.7.1.6","Azobenzene reductase"
"1.7.1.7","GMP reductase"
"1.7.2.1","Nitrite reductase (NO-forming)"
"1.7.2.2","Nitrite reductase (cytochrome  ammonia-forming)"
"1.7.2.3","Trimethylamine-N-oxide reductase"
"1.7.2.4","Nitrous-oxide reductase"
"1.7.2.5","Nitric-oxide reductase (cytochrome c)"
"1.7.2.6","Hydroxylamine dehydrogenase"
"1.7.3.3","Factor independent urate hydroxylase"
"1.7.5.1","Nitrate reductase (quinone)"
"1.7.7.1","Ferredoxin--nitrite reductase"
"1.7.7.2","Ferredoxin--nitrate reductase"
"1.7.99.1","Hydroxylamine reductase"
"1.8.1.14","CoA-disulfide reductase"
"1.8.1.15","Mycothione reductase"
"1.8.1.19","Sulfide dehydrogenase"
"1.8.1.2","Assimilatory sulfite reductase (NADPH)"
"1.8.1.20","4,4'-dithiodibutanoate disulfide reductase"
"1.8.1.4","Dihydrolipoyl dehydrogenase"
"1.8.1.5","2-oxopropyl-CoM reductase (carboxylating)"
"1.8.1.7","Glutathione-disulfide reductase"
"1.8.1.8","Protein-disulfide reductase"
"1.8.1.9","Thioredoxin-disulfide reductase"
"1.8.2.1","Sulfite dehydrogenase (cytochrome)"
"1.8.2.2","Thiosulfate dehydrogenase"
"1.8.2.3","Sulfide-cytochrome-c reductase (flavocytochrome c)"
"1.8.2.4","Dimethyl sulfide:cytochrome c2 reductase"
"1.8.3.1","Sulfite oxidase"
"1.8.3.7","Formylglycine-generating enzyme"
"1.8.4.10","Adenylyl-sulfate reductase (thioredoxin)"
"1.8.4.11","Peptide-methionine (S)-S-oxide reductase"
"1.8.4.12","Peptide-methionine (R)-S-oxide reductase"
"1.8.4.14","L-methionine (R)-S-oxide reductase"
"1.8.4.2","Protein-disulfide reductase (glutathione)"
"1.8.4.8","Phosphoadenylyl-sulfate reductase (thioredoxin)"
"1.8.4.9","Adenylyl-sulfate reductase (glutathione)"
"1.8.5.2","Thiosulfate dehydrogenase (quinone)"
"1.8.5.3","Respiratory dimethylsulfoxide reductase"
"1.8.5.4","Bacterial sulfide:quinone reductase"
"1.8.5.5","Thiosulfate reductase (quinone)"
"1.8.5.6","Sulfite dehydrogenase (quinone)"
"1.8.5.7","Glutathionyl-hydroquinone reductase"
"1.8.7.1","Assimilatory sulfite reductase (ferredoxin)"
"1.8.7.2","Ferredoxin:thioredoxin reductase"
"1.8.7.3","Ferredoxin:CoB-CoM heterodisulfide reductase"
"1.8.98.1","Dihydromethanophenazine:CoB--CoM heterodisulfide reductase"
"1.8.98.3","Sulfite reductase (coenzyme F420)"
"1.8.98.4","Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase"
"1.8.98.5","H(2):CoB-CoM heterodisulfide,ferredoxin reductase"
"1.8.98.6","Formate:CoB-CoM heterodisulfide,ferredoxin reductase"
"1.8.99.2","Adenylyl-sulfate reductase"
"1.8.99.5","Dissimilatory sulfite reductase"
"1.9.3.1","Cytochrome-c oxidase"
"1.97.1.4","[Formate-C-acetyltransferase]-activating enzyme"
"1.97.1.9","Selenate reductase"
"2.1.1.1","Nicotinamide N-methyltransferase"
"2.1.1.10","Homocysteine S-methyltransferase"
"2.1.1.100","Protein-S-isoprenylcysteine O-methyltransferase"
"2.1.1.101","Macrocin O-methyltransferase"
"2.1.1.103","Phosphoethanolamine N-methyltransferase"
"2.1.1.104","Caffeoyl-CoA O-methyltransferase"
"2.1.1.106","Tryptophan 2-C-methyltransferase"
"2.1.1.107","Uroporphyrinogen-III C-methyltransferase"
"2.1.1.11","Magnesium protoporphyrin IX methyltransferase"
"2.1.1.113","Site-specific DNA-methyltransferase (cytosine-N(4)-specific)"
"2.1.1.114","Polyprenyldihydroxybenzoate methyltransferase"
"2.1.1.13","Methionine synthase"
"2.1.1.130","Precorrin-2 C(20)-methyltransferase"
"2.1.1.131","Precorrin-3B C(17)-methyltransferase"
"2.1.1.132","Precorrin-6B C(5,15)-methyltransferase (decarboxylating)"
"2.1.1.133","Precorrin-4 C(11)-methyltransferase"
"2.1.1.137","Arsenite methyltransferase"
"2.1.1.14","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"
"2.1.1.144","Trans-aconitate 2-methyltransferase"
"2.1.1.148","Thymidylate synthase (FAD)"
"2.1.1.151","Cobalt-factor II C(20)-methyltransferase"
"2.1.1.152","Precorrin-6A synthase (deacetylating)"
"2.1.1.156","Glycine/sarcosine N-methyltransferase"
"2.1.1.157","Sarcosine/dimethylglycine N-methyltransferase"
"2.1.1.161","Dimethylglycine N-methyltransferase"
"2.1.1.163","Demethylmenaquinone methyltransferase"
"2.1.1.165","Methyl halide transferase"
"2.1.1.166","23S rRNA (uridine(2552)-2'-O)-methyltransferase"
"2.1.1.17","Phosphatidylethanolamine N-methyltransferase"
"2.1.1.170","16S rRNA (guanine(527)-N(7))-methyltransferase"
"2.1.1.171","16S rRNA (guanine(966)-N(2))-methyltransferase"
"2.1.1.172","16S rRNA (guanine(1207)-N(2))-methyltransferase"
"2.1.1.173","23S rRNA (guanine(2445)-N(2))-methyltransferase"
"2.1.1.174","23S rRNA (guanine(1835)-N(2))-methyltransferase"
"2.1.1.176","16S rRNA (cytosine(967)-C(5))-methyltransferase"
"2.1.1.177","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase"
"2.1.1.178","16S rRNA (cytosine(1407)-C(5))-methyltransferase"
"2.1.1.179","16S rRNA (guanine(1405)-N(7))-methyltransferase"
"2.1.1.180","16S rRNA (adenine(1408)-N(1))-methyltransferase"
"2.1.1.181","23S rRNA (adenine(1618)-N(6))-methyltransferase"
"2.1.1.182","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase"
"2.1.1.184","23S rRNA (adenine(2085)-N(6))-dimethyltransferase"
"2.1.1.185","23S rRNA (guanosine(2251)-2'-O)-methyltransferase"
"2.1.1.186","23S rRNA (cytidine(2498)-2'-O)-methyltransferase"
"2.1.1.187","23S rRNA (guanine(745)-N(1))-methyltransferase"
"2.1.1.189","23S rRNA (uracil(747)-C(5))-methyltransferase"
"2.1.1.190","23S rRNA (uracil(1939)-C(5))-methyltransferase"
"2.1.1.191","23S rRNA (cytosine(1962)-C(5))-methyltransferase"
"2.1.1.192","23S rRNA (adenine(2503)-C(2))-methyltransferase"
"2.1.1.193","16S rRNA (uracil(1498)-N(3))-methyltransferase"
"2.1.1.195","Cobalt-precorrin-5B (C(1))-methyltransferase"
"2.1.1.196","Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)"
"2.1.1.197","Malonyl-[acyl-carrier protein] O-methyltransferase"
"2.1.1.198","16S rRNA (cytidine(1402)-2'-O)-methyltransferase"
"2.1.1.199","16S rRNA (cytosine(1402)-N(4))-methyltransferase"
"2.1.1.2","Guanidinoacetate N-methyltransferase"
"2.1.1.200","tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase"
"2.1.1.201","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
"2.1.1.202","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase"
"2.1.1.206","tRNA (cytidine(56)-2'-O)-methyltransferase"
"2.1.1.207","tRNA (cytidine(34)-2'-O)-methyltransferase"
"2.1.1.208","23S rRNA (uridine(2479)-2'-O)-methyltransferase"
"2.1.1.209","23S rRNA (guanine(2535)-N(1))-methyltransferase"
"2.1.1.21","Methylamine--glutamate N-methyltransferase"
"2.1.1.210","Demethylspheroidene O-methyltransferase"
"2.1.1.213","tRNA (guanine(10)-N(2))-dimethyltransferase"
"2.1.1.215","tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase"
"2.1.1.216","tRNA (guanine(26)-N(2))-dimethyltransferase"
"2.1.1.217","tRNA (adenine(22)-N(1))-methyltransferase"
"2.1.1.219","tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase"
