"","V1","V2","V3","V4","V5","V6","V7"
"16543908ca23561ad5f998978c1061b3","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","uncultured bacterium"
"1657a8a2adb3f3a9bc3e293acd90b8ac","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","Unassigned"
"16591418339c781a2674136e434c8424","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","TG3","uncultured Chitinivibrionia bacterium","Unassigned"
"165cd7822960862a8da8a5a6628dafa5","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Unassigned","Unassigned","Unassigned"
"16666672b94b82236265c5c448ea5d17","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Unassigned","Unassigned"
"167c1af0c5e8c049f2a834efe089ca69","Bacteria","Proteobacteria","Gammaproteobacteria","uncultured","Unassigned","Unassigned","Unassigned"
"1685b4e4fc2e072f1f236d397f5da035","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unassigned","Unassigned"
"168a15e3e414a9767ac01ce3cbc18ae6","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","uncultured bacterium"
"1694380dff4ca8c3956f561a3145d61d","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea","uncultured bacterium"
"169b6455530e3a2dc5bab9634bf5464d","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus","uncultured bacterium"
"16a2c947a8ef64a387ec6c141e737b79","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","uncultured bacterium"
"16c3f95c5cf970ea8fa2afdd74c3b0e5","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","Unassigned","Unassigned"
"16cb26e160ab9d8eab964c3081bfeaf8","Bacteria","LCP-89","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"16d087cac7989dbf6120b854d3df171c","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unassigned","Unassigned"
"16d3e3eb320f4d1f256e2ccf82a90dd6","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured bacterium","Unassigned"
"16d855a2675693beb783de00fa15096a","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","uncultured bacterium","Unassigned","Unassigned"
"16e15f458c2e2d6226fe6512613c0d48","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","uncultured","Unassigned"
"16e3068448f4a1e34f76543a6dbf24f9","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"16ed7d8086b58a89ecfbc9dd3374ea46","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2","uncultured bacterium"
"16f3a6bd8c08fbd8ccde9b23e844b863","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","Unassigned","Unassigned","Unassigned"
"16f4093aced5c00a108ab53397bf19d8","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Unassigned"
"1704b7ad67a48f92a75afd7910c187d8","Bacteria","NB1-j","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"171972b080255260c9263c8ea1265bd2","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","uncultured bacterium"
"171d88590f10665c86bc71b03b1050be","Bacteria","Latescibacterota","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"171f5001d34366b4b05cf00584e793e1","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unassigned"
"17398a202224879a56dd1816a3d945d8","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","uncultured","Unassigned"
"174329fcf3e8fccb0cb59038a844597d","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","Unassigned","Unassigned"
"174a424a330fa4070b659ec0f5a40b91","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"1750c6f13b235a2db39e5694f215c9c9","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"1769cfb8afaf259aee89b33ba2f3273a","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","Unassigned","Unassigned","Unassigned"
"176a18f5e0065d80a8a4de7e247cb9aa","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","Unassigned","Unassigned"
"1770d4f6d08f521aa5fe4d97b39bc11c","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","Unassigned"
"1771cde041d937909300156580ab462d","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","Unassigned","Unassigned","Unassigned"
"177ad309f491a2d933d429afe60afdfb","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","uncultured bacterium","Unassigned","Unassigned"
"1784af3ab9c4648a7072d6feeb47f6da","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","uncultured bacterium"
"1785698bff2499c3e05de4cdd16d2860","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Eudoraea","Unassigned"
"179040260f11409a2051027dd91e82ca","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","uncultured bacterium","Unassigned","Unassigned"
"17a32b991bf8300957849043e57afeb8","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","uncultured bacterium","Unassigned","Unassigned"
"17a5df67c86181b164b9ba85f20116ed","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","uncultured bacterium","Unassigned"
"17b0895022f175e43059e01d518b11d3","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Unassigned","Unassigned"
"17ba7b943204fe27260d844886a47fd9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Unassigned","Unassigned"
"17bdaa84f18e0f1f50d2c9308a563179","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Unassigned","Unassigned"
"17c242cf231cca0613fc5b051dabdb11","Bacteria","Chloroflexi","Anaerolineae","SBR1031","Unassigned","Unassigned","Unassigned"
"17c2f807f1da06caebe112a6b29ba824","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","uncultured","uncultured bacterium"
"17c50cf7e1f11670a4b3a3b852b5124e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","Unassigned"
"17c8d4f649f0848e5a37ec33f2e54e20","Bacteria","Myxococcota","Polyangia","UASB-TL25","Unassigned","Unassigned","Unassigned"
"17d4437c99af8765332ee0b960ca57d7","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","PS1 clade","uncultured bacterium","Unassigned"
"17dacf7c43412bb67f4c42b274418b48","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unassigned"
"17e7ef7568455db46fae1d594b84fe36","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"17e839fc0709509cec374aab6e4f5f7a","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","uncultured bacterium"
"17ee79cc6bcd49cc5cd20229f7dced72","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","uncultured bacterium","Unassigned"
"17fa458f1992ce15c1e4a6d9c219d2c8","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Unassigned","Unassigned","Unassigned"
"180b43a6e117ea4ecc9ca3ad04a474c7","Bacteria","Zixibacteria","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"1810caf3b06ddcdbaaef4a02d4da8e8a","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","Unassigned","Unassigned","Unassigned"
"18135ca75a08c54cbd6203c259936745","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unassigned","Unassigned"
"18194b3c3fdd9edbe14f3141ebbfb61f","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"181d43f157a2bda7c0fea4cf6bde60da","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Unassigned","Unassigned"
"18209305cc6de8ef5ea9430c206680fc","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","Unassigned","Unassigned","Unassigned"
"182369f7cc2ad591c68c2018c19b92a7","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia","Unassigned"
"182789afabcc6daa6fc534dabca35ffe","Bacteria","Acidobacteriota","Subgroup 5","uncultured Acidobacteria bacterium","Unassigned","Unassigned","Unassigned"
"182d0c99b41584e594a36bfe65ce65af","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","uncultured bacterium","Unassigned","Unassigned"
"1832804995d759d9183d44a331886b8b","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Unassigned","Unassigned"
"183614abe36983d6b7d1af7a798fcc93","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","uncultured bacterium"
"1845c1968df388dba0724004c98ef402","Bacteria","SAR324 clade(Marine group B)","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"18553ccfe2068f9351738ffe51e8d51e","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Arctic95B-14","uncultured bacterium","Unassigned"
"1858a5a5ab88d3280d4558f47299a1d9","Bacteria","Acidobacteriota","Subgroup 22","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"186d37ad245f69641e429afa02abd23e","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter","Unassigned"
"18777ed5a621701a49529ab3dc20ed18","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2","uncultured bacterium"
"187831fadd9c35fb48ca7d80a5341128","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","uncultured bacterium"
"187b707e2d5f5de559a93ddc73482190","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"18879ea1bc54bed64bc690e19f5c2e2c","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus","Unassigned"
"1887df546ffd16cba76a4a023d62ca6f","Bacteria","Sva0485","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"1888ef67c8aea9e36f300b550e8f07aa","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Unassigned","Unassigned"
"1889f1c57f48ea66ce8595d33b14f9dc","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured organism","Unassigned","Unassigned"
"188f1dec032a351270d664a87552fecf","Bacteria","WS2","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"188f89bd57d9c4bf6c5cf6dab177924d","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 23","uncultured bacterium"
"189d05246afbaa2c7a9afbccfcbf7195","Bacteria","Desulfobacterota","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"189f245433a79cffff3972f658e41450","Bacteria","Modulibacteria","Moduliflexia","Moduliflexales","Moduliflexaceae","Unassigned","Unassigned"
"189f7f6bdfd8a7c1ac588464d122b068","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Unassigned"
"18a7e2901d6ae69fdc2aff22bd4c2534","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured bacterium","Unassigned"
"18b29adf40438fb8636cb8d08959b425","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","Unassigned","Unassigned"
"18b5f116b505f733d93352a3d943767d","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","uncultured","Unassigned"
"18b84a8bc8be073242f2d7757d68a6b3","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium","Unassigned"
"18ba30918e72b636e598f46eff27ce88","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","uncultured","uncultured bacterium"
"18c76760f33e90eeee41ce9058b860a7","Bacteria","SAR324 clade(Marine group B)","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"18c834d6b5ef22b476d05e9a148b45bc","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","Unassigned"
"18d999b95a5177029a74c0cfb5083a27","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unassigned","Unassigned"
"18db732dc1881236d35231f1dfdcb5b2","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured bacterium"
"18e9a418d96e82c035d55a2527bf0eeb","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","Unassigned"
"18fbb04bf59fa87b32bdf901478186b4","Bacteria","Marinimicrobia (SAR406 clade)","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"18ff2b5bd66974e89bf45d8ce7efc8cf","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured bacterium","Unassigned"
"19007de31b3cedea6b7a328094b71aab","Bacteria","Chloroflexi","Anaerolineae","uncultured","uncultured bacterium","Unassigned","Unassigned"
"190300aeb01a36ed0c098d093ad15d6b","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","Unassigned"
"1903fd38ce436983ed3e5c32eb5f9667","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Unassigned","Unassigned"
"190ddbe5bc76b7f72b0270fcced7ad7c","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured bacterium","Unassigned"
"191518e2c0189ece2bcdb27345d1dfa5","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unassigned"
"191911953f85330749c2705c9e51a15c","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","uncultured bacterium"
"1919a5079d09cb8ae2eaa2afc29db8e9","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea","uncultured bacterium"
"1940d4eb23e172fc3eeea8aee0e756bc","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Unassigned"
"19439b7daa1fa8e3da8fd5a54a17519e","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unassigned","Unassigned"
"19440c8a5b9ce898186a7ed311874308","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured bacterium","Unassigned"
"194596fe6791cb72e4614f8e28374de8","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","uncultured bacterium"
"1955b2698821ac11d484e51034ae6f61","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","uncultured bacterium","Unassigned","Unassigned"
"195acb1d5ff47dc35b7ec42131b008ce","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unassigned","Unassigned"
"197f96a9c430dc2b9e24114c81decfe0","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia","uncultured bacterium"
"1982c97147d825040d1d5d6d66350748","Bacteria","Desulfobacterota","Desulfuromonadia","Unassigned","Unassigned","Unassigned","Unassigned"
"19898c33a5e91964ee550aadccd7bb89","Bacteria","Acetothermia","Acetothermiia","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"198a0d72458edf8c66d7b60ec7012726","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces atratus"
"199216c7c5e66f8df1d93c9b97bb3fcf","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","Unassigned","Unassigned"
"19970ead855e50ce2d315a00a7215caf","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","uncultured bacterium"
"199b191786bee3ee0d93f8ddb00206a0","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","uncultured bacterium","Unassigned"
"199d1c0de46164ad84e9f85813378358","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","uncultured bacterium","Unassigned","Unassigned"
"19c2c7496e8c7eccff60c744ead1b9c6","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured bacterium","Unassigned","Unassigned"
"19c45324aaa3163e2c321fdc60563585","Bacteria","Schekmanbacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"19d4107aad3f5c309948c5b53a7d4f7b","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","uncultured bacterium","Unassigned","Unassigned"
"19da279a881d719653716f2426a1b2b3","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","uncultured bacterium","Unassigned"
"19db0ce4b40bcb0ad111c0fee1c369b2","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","Unassigned"
"19db8318346007aad8e937438dfd8591","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Unassigned"
"19dfaa64691a8883ad8d71f42e010c31","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","uncultured bacterium","Unassigned","Unassigned"
"19e0e5beb97febc35fe3d657910c2d5f","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Unassigned","Unassigned"
"19e5097d697291fd7013f9be06fc71f7","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Unassigned"
"19ea6cbc868a4d2b700bc9a53637c16f","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","uncultured","Unassigned","Unassigned"
"19efd6984cc009160c5f99d514286a09","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"19f194dae206cc8ac0fdc0fe7bf44af1","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Unassigned"
"19f963259f00dc6a3714576bedd6273f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Carboxylicivirga","uncultured bacterium"
"19fa60acffd7879d2dc383ddc9385659","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","uncultured","uncultured bacterium"
"1a0d40f42ee33bafab1064be19ae4d79","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","uncultured bacterium","Unassigned"
"1a1576646de21ea0b220fe2ee18c56b4","Bacteria","Chloroflexi","Anaerolineae","uncultured","Unassigned","Unassigned","Unassigned"
"1a186fae3e87e4b001dd1a34323d290c","Archaea","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"1a1aaa29014f7c55f239e9cdc813f788","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unassigned","Unassigned","Unassigned"
"1a206d6cc28aa270948d6d02a7e7f6ec","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured bacterium"
"1a28f0c4ad57830308622fba8ecddd5d","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales Incertae Sedis","Candidatus Hepatoplasma","uncultured Mycoplasmataceae bacterium"
"1a306471ec76c95faa8508cad29c6803","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Unassigned"
"1a308a44fad34e8d6f7cf32235a99b34","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Unassigned","Unassigned"
"1a4105d1e080ff419129388ab2164cad","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured bacterium"
"1a4d7d865a219ff8d59b6cf32811cfe9","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","Unassigned"
"1a5ab45910c7e75c966141ea93526648","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","Unassigned"
"1a5da8248dd3e743ad2bfa201b64eb2f","Bacteria","Bacteroidota","Bacteroidia","Unassigned","Unassigned","Unassigned","Unassigned"
"1a6021ad746c00e00900a89ae3700ea2","Bacteria","Acidobacteriota","Vicinamibacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"1a63c384a5e65e30f02c47f2c8840ddf","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Unassigned","Unassigned","Unassigned"
"1a69bb10dff31fd83b00f5438abac811","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unassigned"
"1a7d39121aa182b86efa976790435bb4","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured bacterium"
"1a822d3b0caced06098e08229966dbc1","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Unassigned","Unassigned"
"1a8b0ec524578a5153ab0fb3065f947b","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Unassigned"
"1a8f9d6396977210c84b0509cca8fb83","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unassigned","Unassigned"
"1a92c213e42176d1ae7c494cab6c3c42","Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured bacterium","Unassigned"
"1a9fe0c37a5ef71705c7772f7c123588","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","uncultured bacterium"
"1aad2a63005be5f0f2cf296abe03f5cd","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Unassigned"
"1ab107735e55aaf4c462837fbe8a1440","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"1ab10e7f5e83f53cf83dd823d58e9315","Bacteria","Chloroflexi","Dehalococcoidia","GIF9","AB-539-J10","uncultured bacterium","Unassigned"
"1ab97ebd22e7040860d46565c45af957","Bacteria","Patescibacteria","Gracilibacteria","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"1ac36e075d4c2f2aa6ef4bd94cc21647","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Unassigned","Unassigned","Unassigned"
"1acef8522cc6f27a89c0d6e25af5ac4a","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"1acfad48349b3bd505554dcc498dbc55","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","uncultured","uncultured bacterium","Unassigned"
"1ad13ffebd6202331e393388ba411fa2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Unassigned","Unassigned"
"1ad36cfc1ef3fa9ffd79150cf971a3de","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","uncultured bacterium"
"1ae91c81e4a1459c211b4003009a2536","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Unassigned"
"1aea9a765d45eaa59d651509c98b2ee9","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","uncultured bacterium","Unassigned"
"1aecacd3d34133ac032bccabc49d9bb3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","uncultured bacterium"
"1aef94f60b7149a12b565a810293dd54","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Unassigned","Unassigned"
"1b057b5f1c048af522447b5cda8c6be9","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus weihaiensis"
"1b130f0904e23f0f72429f2eb4a79f89","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","Unassigned"
"1b157ea11f052453609fe96ca4132e47","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unassigned","Unassigned","Unassigned"
"1b202039c3f89ffade477d3f6fb9dc27","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus","uncultured bacterium"
"1b21d2b71f96b4a59b392aee9aa1d655","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Unassigned"
"1b2ebe144a59141e079cfdd8a50a01c9","Bacteria","Desulfobacterota","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"1b300b2833c6617af2341d7df7997cdc","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured bacterium","Unassigned","Unassigned"
"1b3033315d5807c51e921870ad5d6a20","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","Unassigned","Unassigned"
"1b35798c94576993ffd304580b6ae704","Bacteria","Planctomycetota","OM190","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"1b35d27d437adc07dd6198372a1d14c2","Bacteria","Sva0485","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"1b3d2f18a144f6ca990a18b57fabdf43","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","uncultured bacterium"
"1b41645d2363149cf61a16d0346d4324","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1","Unassigned"
"1b479b5bf21e42e99e4238c1fca02aec","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Unassigned","Unassigned"
"1b49f5bc06455cc579986b5db5b68278","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae1","Alcanivorax","Unassigned"
"1b4ae17ef7544a568a8898b7f0d32fd3","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","uncultured bacterium"
"1b4d149efb4609971548f763ad8e207e","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","uncultured bacterium"
"1b4dfc0bd1c5544dfd4853915d548189","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","Unassigned","Unassigned"
"1b51357852b0b814b4d9918c6f0ab762","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured bacterium"
"1b7329175c2edf8acd12131375aa088a","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium"
"1b743992ce5cfcaf3fae099fc5a5ba43","Bacteria","Myxococcota","bacteriap25","Unassigned","Unassigned","Unassigned","Unassigned"
